"table_schema","table_name","column_name","data_type","is_nullable","column_default"
drafts,drafters,id,uuid,NO,
drafts,drafters,readable_id,integer,NO,
drafts,drafters,person_id,uuid,NO,'00000000-0000-0000-0000-000000000000'::uuid
drafts,people,id,uuid,NO,
drafts,people,user_id,uuid,YES,
drafts,people,first_name,text,NO,
drafts,people,last_name,text,NO,
drafts,people,display_name,text,YES,
users,users,id,uuid,NO,
users,users,email,character varying,NO,
users,users,first_name,character varying,NO,
users,users,middle_name,text,YES,
users,users,last_name,character varying,NO,
users,users,identity_id,text,NO,
users,users,instagram_handle,character varying,YES,
users,users,letterboxd_handle,character varying,YES,
users,users,profile_picture_path,character varying,YES,
users,users,twitter_handle,character varying,YES,
users,users,bluesky_handle,character varying,YES,
users,users,person_id,uuid,YES,
