"id","movie_title","imdb_id"
"422e7ea8-a19f-4bdf-a96d-529ec571d5ad",The Quatermass Xperiment,tt0049646
"0f5e553f-3d5f-486a-a46c-c881e5520a68",Creed II,tt6343314
"7b270d20-193b-4028-bd13-ac5701cd98f3",Creed III,tt11145118
"1480fdc3-9bb7-40bf-a015-7e4b108b166d",Creepshow,tt0083767
ce3d6d75-a577-492c-8d6c-9eba1cbcf450,Crimson Tide,tt0112740
"0e27b62d-a233-4042-882a-fab44af68135",Critical Thinking,tt7870102
"3e89ed37-bb63-42b1-a533-2550278385af",Croc,tt1127177
e2173bce-22c8-4455-a33a-c5f4e7b0bb54,Crooklyn,tt0109504
a9c0b147-90a0-4889-8cf2-882e6c9c99c2,Cross of Iron,tt0074695
fa7fd34f-01ec-4dda-b7d1-21ae3f6deabb,"Crouching Tiger, Hidden Dragon",tt0190332
"94183178-ad8b-43b7-aa5e-9dce258812be",Crumb,tt0109508
"6a02f5ed-f2b6-47c5-af87-988bdf034d16",Cujo,tt0085382
a8afd173-9c95-45ae-9c0b-f1b38447eae1,Cult of Chucky,tt3280262
a92a37e9-1626-4f17-9a13-3fb243317bc4,Curse of Chucky,tt2230358
"2df1dded-6a07-4f72-ad60-761ca70a8766",Cyborg,tt0097138
"0fbfb31a-faba-4dbb-b247-79ad589cdec7",D.E.B.S.,tt0367631
d3b95917-0f7f-428b-a17a-ab8be68d857b,Da 5 Bloods,tt9777644
"1f6b5c97-bf3b-42f2-8828-c6a03c8f487d",Da Sweet Blood of Jesus,tt3104930
"8bc1f8ad-33f6-4c98-80cd-6b282a65c1d9",Dagon,tt0264508
"6c1b8ebc-dd98-4888-b06b-5144d237aa43",Damage,tt0104237
"20eb48ff-d87f-4f1a-bcb0-c384ceae2884",Damn Yankees,tt0051516
"773c2d22-9439-4808-bc6b-dff3645bdfc9",Damsels in Distress,tt1667307
ab6f5d2e-ccb8-449b-a08b-2866c76bf99a,Dancer in the Dark,tt0168629
"60e48d80-ce5c-4633-9272-07f549eb14c9",Daredevil,tt3322312
bb0eb999-d907-477d-8482-80ed22cd2cb3,Dark Age,tt0092830
ae4cc7e2-8328-4efb-9938-7c5c265b8665,Dark City,tt0118929
dd8a6361-c616-4db0-99e7-3349b55b6dee,Dark Passage,tt0039302
b833917c-1b0d-40de-8697-085df386ecfa,X-Men: Dark Phoenix,tt6565702
"72c57bee-ecdd-4179-b9b2-77f604adf2d3",Dark Victory,tt0031210
"71c8f4fc-756a-4400-b86e-d5c406257acf",Darkman,tt0099365
c09261f3-ca1a-4d24-b0f6-f07b5b726b40,Darkness,tt0273517
"0cf6d526-9912-45c9-9dee-b89256b27d31",David Byrne's American Utopia,tt11874226
d25dfbda-5f64-4c3e-af1a-bcf50545a672,Dawn of the Dead,tt0363547
b4a2c48a-835f-43ec-b4b5-ee13617c2351,Dawn of the Dead,tt0077402
"330d7ed9-18c8-4527-a0b9-1b0a0e8af37c",Dawn of the Planet of the Apes,tt2103281
ee831b95-7e69-40e0-8f33-f1802dafd146,Day for Night,tt0070460
"2043f0ed-cf14-4078-84ec-ec8a4617b568",Day of the Animals,tt0075913
aed56707-f314-454c-99b3-3b778a1cbf71,Day of the Dead,tt0088993
abaf3fec-1082-48d4-8a78-8cdde3012045,Dazed and Confused,tt0106677
"18b690a0-d0d0-4a73-ae14-943b5f6b1d1e",Dead Man,tt0112817
"61f83928-ad6b-4c4b-ab17-12fc90f3f306",Dead of Night,tt0068457
"050ed3b0-085d-4006-9e35-b444f053cdf3",Dead Ringers,tt12923632
"2854f14e-bb48-4c25-85d4-bd624ac72676",Deadfall,tt1667310
"249ca0d5-846d-4607-b490-224f9c799b32",Deadly Blessing,tt0082245
"096f76af-f250-40eb-9a67-39d038f56616",Deadly Games,tt0083803
"2e97830f-980e-4cdc-a91a-a39476cad2ae",Deadpool,tt1431045
b2ecc633-354d-453d-b647-d2e648339b44,Deadpool 2,tt5463162
"9e368a05-72d0-4507-a911-1d80acec0227",Dealing: Or The Berkeley-to-Boston Forty-Brick Lost-Bag Blues,tt0068455
"5f2c23e9-c265-4d30-9eb1-87e53854fd49",Dear White People,tt2235108
"166db2de-e5ff-464a-a0cc-8aac47a3eac6",Death and the Maiden,tt0109579
