"id","imdb_id","title","year","plot","image","release_date","youtube_trailer_url"
"001670dd-d0c4-4e8a-bf2a-a479eb613e0f",tt0448134,Sunshine,"2007",A team of international astronauts is sent on a dangerous mission to reignite the dying Sun with a nuclear fission bomb in 2057.,https://m.media-amazon.com/images/M/MV5BNmExYTA4MGYtNWUwNC00YTZhLWE0YzUtMjI0OGYyMmQ4YTVkXkEyXkFqcGc@._V1_Ratio0.6833_AL_.jpg,"7/27/2007",https://www.imdb.com/video/imdb/vi1150026009/imdb/embed
"00289c1e-47db-41dc-9df0-316ff7c5142a",tt0127536,Elizabeth,"1998",The early years of the reign of Elizabeth I of England and her difficult task of learning what is necessary to be a monarch.,https://m.media-amazon.com/images/M/MV5BNWRjZjJjNDUtOTgzMi00YjBlLTg5ODQtMjQxOTAyMzM2ZWJiXkEyXkFqcGc@._V1_Ratio0.6762_AL_.jpg,"2/19/1999",https://www.imdb.com/video/imdb/vi4037280025/imdb/embed
"003a68f0-d252-4e6f-bbf0-aa7c134be526",tt0118845,Happy Together,"1997",A couple take a trip to Argentina but both men find their lives drifting apart in opposite directions.,https://m.media-amazon.com/images/M/MV5BNzQ2YWYyMzUtMTAyZC00NDg1LWJjZmUtYWRjNzQxYzA4MWUwXkEyXkFqcGc@._V1_Ratio0.6833_AL_.jpg,"5/30/1997",https://www.imdb.com/video/imdb/vi3332768025/imdb/embed
"00635822-0f27-46dd-8af4-32b8b669b01c",tt2771200,Beauty and the Beast,"2017","A brave, beautiful, and brilliant young woman is imprisoned by a beast in his castle. Despite her fears, she learns to see beyond the beast's hideous exterior and realize the gentle heart of the true prince within him.",https://m.media-amazon.com/images/M/MV5BMTUwNjUxMTM4NV5BMl5BanBnXkFtZTgwODExMDQzMTI@._V1_Ratio0.6762_AL_.jpg,"3/17/2017",https://www.imdb.com/video/imdb/vi179222553/imdb/embed
"0093f194-c8eb-4053-a7f0-fb94e2e0a8a8",tt0120184,Sphere,"1998",A spaceship is discovered under three hundred years' worth of coral growth at the bottom of the ocean.,https://m.media-amazon.com/images/M/MV5BNmJiZDZiMGQtYzU3My00ZGEyLThiNDctMTA0MDFmYjAzNmUzXkEyXkFqcGc@._V1_Ratio0.6762_AL_.jpg,"2/13/1998",https://www.imdb.com/video/imdb/vi797245721/imdb/embed
"0094ab2c-a827-4f96-ad26-b02c3f5b8f19",tt0054743,The Children's Hour,"1961",A rebellious student at a girls' school accuses two teachers of lesbianism.,https://m.media-amazon.com/images/M/MV5BYzA1MmJiMDItZWJhNC00YjQ0LTk1NWYtZWU2YWRhZmUwMWFiXkEyXkFqcGc@._V1_Ratio0.6762_AL_.jpg,"12/19/1961",https://www.imdb.com/video/imdb/vi3933126937/imdb/embed
"009c9d82-2d9f-4c60-bcaf-22bc88bd7bff",tt0188527,Island of Death,"1976",A couple of perverted and maniac killers get loose on a Greek island.,https://m.media-amazon.com/images/M/MV5BNGJkM2RkM2YtODYyMi00ZWVhLWI4MjAtZjU1ZDAxODUyOTZiXkEyXkFqcGc@._V1_Ratio0.6762_AL_.jpg,"1976",
"00b84881-696f-486b-ab7f-68fc88485de0",tt0063172,Destroy All Monsters,"1968","In 1999, a race of she-aliens, the Kilaaks, brainwash Earth's monsters into attacking major cities, prompting a team of astronauts to stop the invaders while the monsters battle Ghidorah.",https://m.media-amazon.com/images/M/MV5BMmM2NWVmZDktY2ZiZi00YTdiLTk4NmEtZTNkZmYyMGYxMTAxXkEyXkFqcGc@._V1_Ratio0.6762_AL_.jpg,"5/28/1969",https://www.imdb.com/video/imdb/https://www.imdb.com/video/vi2963341593//imdb/embed
"00c2fc11-466b-4cef-b77c-ca5b1b68dc98",tt3521164,Moana,"2016","In ancient Polynesia, when a terrible curse incurred by the demigod Maui reaches Moana's island, she answers the Ocean's call to seek out Maui to set things right.",https://m.media-amazon.com/images/M/MV5BMjI4MzU5NTExNF5BMl5BanBnXkFtZTgwNzY1MTEwMDI@._V1_Ratio0.6762_AL_.jpg,"11/23/2016",https://www.imdb.com/video/imdb/vi2813048345/imdb/embed
"00d83c0f-b5de-45ee-aa20-14bae90961cb",tt0049223,Forbidden Planet,"1956","A starship crew in the 23rd century goes to investigate the silence of a distant planet's colony, only to find just two survivors, a powerful robot, and the deadly secret of a lost civilization.",https://m.media-amazon.com/images/M/MV5BMjY4NGVmMzctYjFmYS00MDk3LTlkNDktNDdjMjhlYmY1YmI3XkEyXkFqcGc@._V1_Ratio0.6762_AL_.jpg,"6/13/1958",https://www.imdb.com/video/imdb/vi463995161/imdb/embed
