Id,Name,ImdbId
83b645f3-207a-46f3-842f-aedb8acd2648,Metro-Goldwyn-Mayer (MGM),co0007143
ed833702-2655-4f63-80d0-8df1819ecf1d,Warner Bros.,co0002663
fed17ed2-5f6c-43fd-8675-f8d06f85f7d3,New Line Cinema,co0046718
a9d35b1c-771b-4590-a46d-b099b15117a5,Chartoff-Winkler Productions,co0054262
bd662e77-2662-4a88-9b9a-200a89395e6d,Glickmania,co0794213
85e0d32b-7198-4b5f-9e7c-11a21e8adabc,Laurel-Show Inc.,co0099640
9ea2e667-abe4-4f2e-bb58-4a9504b0bc67,United Film Distribution Company,co0140065
598340ad-af36-4e83-9819-348ed9246487,Hollywood Pictures,co0076240
fc4960ef-6c3a-4a26-95e0-e0524b803102,Don Simpson/Jerry Bruckheimer Films,co0102770
207b83f3-949d-4105-9ffd-239588b97d7c,Hialeah Park Studios,co0726369
46f2bf88-3b87-4469-80d5-0ea16542ab90,Cinema Veritas,co0277025
dcbc49c3-3a84-4cd1-ad52-7e8daa2e35cc,Critical thinking,co0831117
7729490a-0f56-4c2d-b2e5-47c6dcf48341,RHI Entertainment,co0013824
bfaeb4db-24fc-4657-a17c-4c00d0917d68,Thai Occidental Productions,co0214168
149b6e37-26ff-4edd-949a-58512d536c0a,Universal Pictures,co0005073
5b5e3534-8026-480d-b597-5df41d619c0d,Child Hood Productions,co0013105
af24fe78-bcc0-4e52-ae69-569fd455821d,40 Acres & A Mule Filmworks,co0029134
62784c1a-4ba9-41b5-bc98-b73415d71333,Rapid Film,co0058678
9e21be56-0057-4895-a604-da81cbf50d42,Terra-Filmkunst,co0034385
a367a31d-d682-4a56-a467-a9895959d264,Anglo-EMI Film Distributors,co0106032
445f0ab3-7893-48dd-896c-7f64519056c2,Good Machine,co0007554
95a54a67-565d-4bf9-8562-097dd5b2675b,Columbia Pictures Film Production Asia,co0041248
e4806bb2-70da-4006-a60b-a4ba0e3ff02c,Sony Pictures Classics,co0014453
4ae9d308-0703-4dd0-8474-91d7b970f7b8,Superior Pictures,co0010426
51be3691-12cc-4a88-8dde-f83317b558be,Sunn Classic Pictures,co0038330
8f8c8fc3-9b12-4da8-a52a-abb8928fee55,TAFT Entertainment Pictures,co0047779
3d1d6663-8132-49aa-b675-2cd883044997,Universal 1440 Entertainment,co0359888
835f58c6-900c-48bf-92f3-8d8aa1e7fc22,Cannon Entertainment,co0112851
b958e562-2cc1-4fb9-9098-f6dd7924f54b,Golan-Globus Productions,co0206391
4bfa20d5-cac4-4876-aa6e-ee4584d54479,Anonymous Content,co0017525
8d22d1de-1880-4f1a-a824-d602c87e7875,Andrea Sperling Productions,co0186897
f3cab7b6-4482-403c-8a44-b1d1b4587607,Screen Gems,co0010568
ebe0d9f9-9ebc-4875-b1cc-9ed4251dd920,Rahway Road Productions,co0702052
e0118b60-0ef3-460e-afd9-cf067fa40a5d,Castelao Producciones,co0080776
e9f685ab-a7e9-411f-95d9-6917d7ea7524,Fantastic Factory (Filmax),co0019535
f102fec9-65c6-48ff-80dd-cfbe588d43b6,Estudios Picasso,co0016173
12c47677-333b-43c8-b018-96cd9dbd4bf5,StudioCanal,co0047476
867314d8-3fe6-4a09-9623-e955ea0535b8,Skreba Films,co0065457
c0b7e8a3-8fe9-44a2-93bc-3b62cb913c57,Nouvelles Éditions de Films (NEF),co0076272
90617ade-b5f1-4f9d-af47-76d74218f7c5,A George Abbott and Stanley Donen Production,co0306709
137f91e9-7cf0-4b04-9d5e-4f9c32cc8311,Westerly Films,co0076519
345f7691-0605-4e12-978d-63aba375fa4f,Trust Film Svenska,co0035409
c1478d19-2e29-4a48-931f-bcd39b507a94,Zentropa Entertainments,co0136662
f7dc7450-3879-416b-b8b8-9ea0b09b6211,Film i Väst,co0001935
1e38c1f3-7ea3-44d0-b588-91a986a23fb1,ABC Signature,co0209226
9eed994d-7a25-441b-b579-b31a80e8386d,DeKnight Productions,co0492741
e1e571d0-9198-49f5-9ddf-e9387ce42a8a,Goddard Textiles,co0531874
0b0bc7bb-98e2-42d1-8b2c-39cac87616ba,FGH,co0067960
2f63171f-177d-4687-8d1b-e95f6b6c8d92,RKO Radio Pictures,co0041421
c6583e7f-8400-4204-b46a-b7e1aa9dd6bd,The Australian Film Commission,co0002712
af64ae72-5f31-4a94-ae43-df6d48bf0456,Mystery Clock Cinema,co0052515
a63a3a97-71a7-4b86-b657-1073f59f253c,Marvel Entertainment,co0047120
c47815f2-45e3-4c87-a9bc-c3dad8230f11,TSG Entertainment,co0420822
e6a6c9d6-9240-4c67-a0f5-53f1c7bb3cc3,Twentieth Century Fox,co0000756
df223b49-0df2-43ce-bdc9-7de95182435d,Renaissance Pictures,co0047594
e736ccb7-8789-44a8-b20d-b222dd3dc57f,Dimension Films,co0019626
bc59f6fe-b804-4a9d-9e78-0e787afb183b,Participant,co0132772
cd54f7c6-da07-41ba-a643-90b594fb18cf,HBO Documentary Films,co0037614
04aa179e-38f3-4d23-90bb-8aa4bb171853,New Amsterdam Entertainment,co0010962
746c1040-6f17-4014-8a73-125bb1e9d98d,Strike Entertainment,co0086710
aae0db38-ad41-41dd-9c11-f8bfe18e55b6,Metropolitan Filmexport,co0013658
68ac042c-7e24-4803-985a-d9b1871b8041,Dawn Associates,co0607988
edefcc5e-d079-420a-8ba4-6b0b1400dc18,Laurel Group,co0136689
54d75f2b-1566-4d7a-9ab4-86ea50f5325d,Ingenious Media,co0209925
cbdb70ba-0997-49e3-8a2c-d8130346b8b6,Chernin Entertainment,co0286257
4e01a8ee-5f80-4843-83b9-c1383bf79bab,Les Films du Carrosse,co0106723
6f751202-5714-497e-9e1b-06195c8e373e,PECF,co0063388
dd315492-63f7-4869-bd48-498896e9ddbe,Produzione Intercontinentale Cinematografica (PIC),co0009993
b0ba6bff-5d03-426c-8d0f-21ecb6b48655,Hollywood West Entertainment,co0297710
fc52896c-5a22-48bf-b682-e2f9d10e1401,Montoro Productions,co0800319
49860d97-074e-44fa-9021-9efe61c3ac89,Laurel Entertainment Inc.,co0099636
58b0296e-0a4e-465e-a1df-4099bbf1a409,Gramercy Pictures (I),co0018555
758e9b52-5fca-4c3e-b808-1df3dffd2ddf,Detour Filmproduction,co0123642
f0d54792-b66d-4108-8397-7c1092f421ea,Alphaville Films,co0049706
