DraftPublicId,SpotlightDescription,SpotifyUrl
d_7kR65xEG1E0rzf5,"Darren Franich and Chancellor Agard kicked off Screen Drafts with the premiere episode, ranking the best third installments in film series. The show's first-ever veto occurred here when Franich rejected Agard's pick of The Dark Knight Rises; the first proposed ""trades for unused vetoes"" concept was also floated but scrapped after this episode.",https://open.spotify.com/episode/2peL87jJ7NRhvB5OyctrfM
d_dJeLBt4yO3irthP,Ryan Marker and Steve Berg drafted the best alien-visitor films with E.T. landing at #1. Two films were vetoed — Brother From Another Planet and Under the Skin — establishing the show's early veto patterns.,https://open.spotify.com/episode/3VrpVI7BkeF7rdoI7alIEz
d_snF0YJyTLGO2cbj,"Angela Matano and Tom Cendejas competed over Hepburn's best films, with The Nun's Story claiming the top spot and Funny Face falling to a veto. The episode featured a clean sweep of Hepburn's most celebrated roles from Roman Holiday to Breakfast at Tiffany's.",https://open.spotify.com/episode/63YFi4qkUNFK2CF3mnSOKt
d_4vrfSyHVWWfhVYJ,"Kyle Anderson and Billy Ray Brewton — billed as the first ""Scream Drafts"" episode — drafted top horror sequels with The Exorcist III taking the crown. Two films were vetoed and Brewton made his Screen Drafts debut here.",https://open.spotify.com/episode/21QlfI6bOkxGTeLPaaC97R
d_d9PEoV17iO42Jhx,"Piya Sinha-Roy and Darren Franich tackled millennial-era teen horror, with Sinha-Roy vetoing Franich's choice of It Follows and Raw ultimately claiming the top spot. Franich became the first drafter to appear in multiple Screen Drafts episodes.",https://open.spotify.com/episode/1rLo2zk8IdHAye0KpzNYt2
d_Cqn74xazoXe6uif,"Billy Ray Brewton and Heidi Honeycutt ranked King's best screen adaptations, placing Pet Sematary at #1. Both The Shining and Christine fell to vetoes, creating spirited debate about the most essential King adaptation.",https://open.spotify.com/episode/6IhLAJyJGRid5DwUSjzCEj
d_1GU4r9K6LlCkA1a,"Clay Keller and Ryan Marker's first head-to-head draft became one of the most-discussed in series history, with 12 Monkeys topping the list. Ryan vetoed Clay's pick of Bill & Ted's Excellent Adventure, and the episode was later featured in The Marathon retrospective.",https://open.spotify.com/episode/3G1aJ0LWwCpUycIuvYt1Q6
d_dRCKKy3GfHWo3ld,"Maureen Lee Lenker and Vince Balzano compiled a vintage Christmas canon with It's a Wonderful Life taking #1. White Christmas was vetoed by Balzano after Lenker selected it — the episode was originally titled ""Vintage Christmas.""",https://open.spotify.com/episode/5yvHKyz6KuhBbrztu3lrUI
d_AaiF3lKtAK4reP5,"Dave Schilling and Zed Cutsinger ranged across every sport with Eight Men Out earning the top spot. Rocky IV and Hoop Dreams were vetoed, pushing the list toward more understated sports cinema.",https://open.spotify.com/episode/404IPPCaRXWBMZy5vV6ZRF
d_pCGucJt7M8v5mTu,Billy Ray Brewton and Graham Skipper — Skipper's debut appearance — built a dark holiday canon with Gremlins at #1. Skipper became the third drafter to appear in three separate Screen Drafts in the same year.,https://open.spotify.com/episode/5JQNG12I12nmA10Dhu9bWV
d_X26TaGFWdrCr3XB,"Angela Matano and Alec Tibaldi drafted best films featuring notable nudity in service of character or story, with American Beauty earning the top spot. American Honey and Forgetting Sarah Marshall were both vetoed.",https://open.spotify.com/episode/1XwBvByahwIJY6SHy1xJzF
d_GNIKDqwcwcZIRgv,Amy Nicholson and Eva Anderson honored Christopher Lee's vast filmography with The Wicker Man landing at #1. Only one veto occurred — Star Wars Episode II — keeping the list focused on Lee's genre-defining roles.,https://open.spotify.com/episode/3pnK8EaHDFcZtBPZMnRo43
d_o7REteBWmiBSTPz,"The first Mega Draft featured Darren Franich, Clay Keller, and Ryan Marker picking the 17 best films of 2018, with First Reformed taking #1. Black Panther was initially vetoed before returning to the list, and BlacKkKlansman fell to another veto.",https://open.spotify.com/episode/4E3QApZiwKiLw3glaesudB
d_8Me1pBkuTOBJosA,"Graham Skipper and Sean Keller drafted the best twist-ending films, with The Wicker Man earning #1 and also becoming the first film inducted into Screen Drafts' Marquee of Fame. The Usual Suspects and Brazil were both vetoed.",https://open.spotify.com/episode/5LcNZ4QENPm1hBzLknn7oq
d_XVRJki6JnZn8Pzg,"James Ponsoldt and Darrin Navarro ranked the best films about filmmakers, placing Singin' in the Rain at the top. This episode introduced both the Commissioner Override and the Predictions Game — two cornerstone mechanics of the show.",https://open.spotify.com/episode/4SsOySFiIaIXAMVWVntq8n
d_YEJpImjKnbv3iUp,Matt Perez-Mora and Holly Thompson locked horns over the Tarantino canon with Pulp Fiction taking #1. Kill Bill: Vol. 1 was initially vetoed before ultimately landing high on the list.,https://open.spotify.com/episode/6eAUGdvWEvd9yIbEHybQGd
d_WIlzBRoq0r0zCyd,"Billy Ray Brewton and Chris Thomas Devlin drafted the best '80s fantasy films with The NeverEnding Story at #1. Highlander and The Last Unicorn were vetoed, leaving a list anchored by Labyrinth and The Princess Bride.",https://open.spotify.com/episode/5ErzFuR84z04W1Zkg45H44
d_f9XU4uph866sC9C,"Clay Keller and Ryan Marker ranked amnesia films with Mulholland Drive at #1. This episode featured the first-ever Commissioner Override in series history, with Paris Texas removed from consideration.",https://open.spotify.com/episode/3O0f5NuDhDegUYXyuCbv3c
d_vO879JaxCI87TrD,Darren Franich and Jeff Jensen drafted Kubrick's filmography with 2001: A Space Odyssey at #1. Paths of Glory was vetoed and The Shining was initially vetoed before making the final list.,https://open.spotify.com/episode/13uPLxUU8322ivIoEhZDgU
d_21Qfd6cNfJbkIiD,"Dana Schwartz and Max Genecov ranked British romantic comedies with Bridget Jones's Diary at #1. Stardust was vetoed by Schwartz on her initial selection, leading to a revised pick.",https://open.spotify.com/episode/2aYHjSL6B7p0ZHmJGYzkjA
d_E99LwNUE6y7SbND,"Clay Keller and Ryan Marker went head-to-head on the A24 catalogue with Moonlight at #1. No vetoes occurred, and Ryan won this early matchup — the episode was the first to record an official ""Clay vs. Ryan"" result.",https://open.spotify.com/episode/2G3zlFPKZuFvXlV1PDwPvA
d_asXC8QwWaINOEm5,"A four-person Super Draft with Darren Franich, Clay Keller, Ryan Marker, and Chancellor Agard ranking all MCU films, Black Panther landing #1. Multiple vetoes including Spider-Man: Homecoming and Civil War made this one of the veto-heaviest episodes to that point.",https://open.spotify.com/episode/48YcIJ3OvWAQ6IneK0mgkU
