drafter,title,year,imdb_id,classification,rt_percent_or_error
Drea Clark,Head Games,,tt2239400,FRESH,88
Drea Clark,At the Death House Door,,tt0929235,FRESH,100
Ryan Marker,Abacus: Small Enough to Jail,,tt5952382,FRESH,93
Drea Clark,Life Itself,,tt2382298,FRESH,98
Ryan Marker,Stevie,,tt0334416,FRESH,91
Drea Clark,The Interrupters,,tt1319744,FRESH,99
Billy Ray Brewton,Harry Potter and the Prisoner of Azkaban,2004,tt0304141,FRESH,90
Ryan Marker,X-Men: Apocalypse,2016,tt3385516,ROTTEN,47
Ryan Marker,Day for Night,1973,tt0070460,FRESH,98
Oriana Nudo,The Godfather Part II,1974,tt0071562,FRESH,96
Darren Franich,Day of the Dead,1985,tt0088993,FRESH,61
Clay Keller,Star Trek V: The Final Frontier,1989,tt0098382,ROTTEN,22
Billy Ray Brewton,Hellbound: Hellraiser II,1988,tt0095294,ROTTEN,52
Graham Skipper,Hellbound: Hellraiser II,1988,tt0095294,ROTTEN,52
Drea Clark,Tangerine,2015,tt3824458,FRESH,96
Billy Ray Brewton,The Others,2001,tt0230600,FRESH,84
Oriana Nudo,Little Women,2019,tt3281548,FRESH,95
Clay Keller,Pursuit,1972,tt0069137,ROTTEN (TV_API),25
Darren Franich,The Adventures of Tintin,2011,tt0983193,FRESH,75
Ryan Marker,Cover-Up,2025,tt37660887,FRESH,98
Oriana Nudo,The Darien Gap,1996,tt0112803,NO_RT_DATA,
Clay Keller,The Truman Show,1998,tt0120382,FRESH,94
Billy Ray Brewton,God Help the Girl,2014,tt2141751,FRESH,67
Billy Ray Brewton,Red Road,2006,tt0471030,FRESH,87
Billy Ray Brewton,His House,2020,tt8508734,FRESH,100
Billy Ray Brewton,Dog Soldiers,2002,tt0280609,FRESH,82
Billy Ray Brewton,Green Room,2015,tt4062536,FRESH,90
Drea Clark,Rescue Dawn,2006,tt0462504,FRESH,90
Clay Keller,The Killing of a Sacred Deer,2017,tt5715874,FRESH,79
Billy Ray Brewton,Pecker,1998,tt0126604,ROTTEN,52
Clay Keller,Boogie Nights,1997,tt0118749,FRESH,91
Oriana Nudo,A Star Is Born,1954,tt0047522,FRESH,98
Ryan Marker,Parasite,2019,tt6751668,FRESH,99
Bryan Cogman,Love and Death,1975,tt0073312,FRESH,100
Bryan Cogman,Love and Death,1975,tt0073312,FRESH,100
Drea Clark,Dudes,1987,tt0092933,FRESH (TV_API),62
Drea Clark,Party Girl,1995,tt0114095,FRESH,82
Billy Ray Brewton,In Fabric,2018,tt7464188,FRESH,92
Bryan Cogman,Treasure Island,1934,tt0025907,FRESH,100
Oriana Nudo,Moulin Rouge!,2001,tt0203009,FRESH,75
